AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 02.07.2020 at 17:32:17 Compatible with AeroDyn v13.0.
Polar "T1_Re0.020_M0.00_N9.0 360 V" on Foil "T1_Re0.020_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
44.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-6.59          Angle of attack for zero Cn for linear Cn curve (deg)
2.51196        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7120        Cn at stall value for positive angle of attack for linear Cn curve
-0.7315        Cn at stall value for negative angle of attack for linear Cn curve
1.00           Angle of attack for minimum CD (deg)
0.0520         Minimum CD value
     -9.00   -0.1382    0.1035
     -8.00   -0.0528    0.0874
     -7.00   -0.0151    0.0784
     -6.00    0.0214    0.0705
     -5.00    0.0551    0.0637
     -4.00    0.0825    0.0583
     -3.00    0.0965    0.0545
     -2.00    0.0877    0.0525
     -1.00    0.0508    0.0521
      0.00    0.0000    0.0521
      1.00   -0.0508    0.0520
      2.00   -0.0878    0.0524
      3.00   -0.0964    0.0544
      4.00   -0.0823    0.0582
      5.00   -0.0545    0.0636
      6.00   -0.0205    0.0704
      7.00    0.0163    0.0783
      8.00    0.0543    0.0873
      9.00    0.1399    0.1034
     10.00    0.2255    0.1199
     11.00    0.2879    0.1345
     12.00    0.3616    0.1544
     13.00    0.3944    0.1646
     14.00    0.4386    0.1788
     15.00    0.4670    0.1879
     16.00    0.5048    0.2014
     17.00    0.5378    0.2127
     18.00    0.5927    0.2351
     19.00    0.6303    0.2519
     20.00    0.6629    0.2653
     21.00    0.6818    0.2697
     22.00    0.7002    0.2908
     23.00    0.7183    0.3128
     24.00    0.7359    0.3355
     25.00    0.7530    0.3589
     26.00    0.7695    0.3830
     27.00    0.7853    0.4077
     28.00    0.8004    0.4331
     29.00    0.8148    0.4592
     30.00    0.8285    0.4857
     31.00    0.8413    0.5128
     32.00    0.8533    0.5404
     33.00    0.8644    0.5685
     34.00    0.8747    0.5971
     35.00    0.8840    0.6260
     36.00    0.8924    0.6553
     37.00    0.8998    0.6849
     38.00    0.9063    0.7148
     39.00    0.9117    0.7449
     40.00    0.9162    0.7753
     41.00    0.9196    0.8059
     42.00    0.9221    0.8366
     43.00    0.9235    0.8674
     44.00    0.9238    0.8983
     45.00    0.9231    0.9292
     46.00    0.9214    0.9601
     47.00    0.9186    0.9909
     48.00    0.9148    1.0217
     49.00    0.9099    1.0523
     50.00    0.9040    1.0828
     51.00    0.8970    1.1131
     52.00    0.8890    1.1431
     53.00    0.8800    1.1729
     54.00    0.8699    1.2024
     55.00    0.8589    1.2315
     56.00    0.8468    1.2602
     57.00    0.8338    1.2885
     58.00    0.8197    1.3164
     59.00    0.8048    1.3438
     60.00    0.7889    1.3706
     61.00    0.7720    1.3969
     62.00    0.7543    1.4226
     63.00    0.7357    1.4477
     64.00    0.7162    1.4722
     65.00    0.6959    1.4959
     66.00    0.6748    1.5190
     67.00    0.6528    1.5413
     68.00    0.6301    1.5629
     69.00    0.6067    1.5836
     70.00    0.5826    1.6035
     71.00    0.5578    1.6226
     72.00    0.5323    1.6409
     73.00    0.5062    1.6582
     74.00    0.4795    1.6746
     75.00    0.4523    1.6901
     76.00    0.4245    1.7046
     77.00    0.3962    1.7182
     78.00    0.3675    1.7308
     79.00    0.3384    1.7423
     80.00    0.3088    1.7529
     81.00    0.2789    1.7624
     82.00    0.2487    1.7709
     83.00    0.2182    1.7783
     84.00    0.1875    1.7846
     85.00    0.1565    1.7899
     86.00    0.1254    1.7941
     87.00    0.0942    1.7972
     88.00    0.0628    1.7992
     89.00    0.0314    1.8002
     90.00    0.0000    1.8000
     91.00   -0.0314    1.7995
     92.00   -0.0628    1.7978
     93.00   -0.0941    1.7951
     94.00   -0.1253    1.7912
     95.00   -0.1563    1.7863
     96.00   -0.1871    1.7803
     97.00   -0.2177    1.7733
     98.00   -0.2481    1.7651
     99.00   -0.2781    1.7560
    100.00   -0.3078    1.7457
    101.00   -0.3371    1.7345
    102.00   -0.3661    1.7222
    103.00   -0.3945    1.7089
    104.00   -0.4225    1.6947
    105.00   -0.4500    1.6794
    106.00   -0.4769    1.6632
    107.00   -0.5033    1.6461
    108.00   -0.5290    1.6281
    109.00   -0.5541    1.6092
    110.00   -0.5785    1.5894
    111.00   -0.6022    1.5688
    112.00   -0.6252    1.5474
    113.00   -0.6474    1.5252
    114.00   -0.6688    1.5022
    115.00   -0.6894    1.4785
    116.00   -0.7092    1.4541
    117.00   -0.7281    1.4290
    118.00   -0.7461    1.4033
    119.00   -0.7632    1.3769
    120.00   -0.7794    1.3500
    121.00   -0.7947    1.3225
    122.00   -0.8089    1.2945
    123.00   -0.8222    1.2661
    124.00   -0.8345    1.2371
    125.00   -0.8457    1.2078
    126.00   -0.8560    1.1781
    127.00   -0.8651    1.1481
    128.00   -0.8733    1.1177
    129.00   -0.8803    1.0871
    130.00   -0.8863    1.0563
    131.00   -0.8912    1.0253
    132.00   -0.8951    0.9941
    133.00   -0.8978    0.9628
    134.00   -0.8995    0.9314
    135.00   -0.9000    0.9000
    136.00   -0.8995    0.8686
    137.00   -0.8978    0.8372
    138.00   -0.8951    0.8059
    139.00   -0.8912    0.7747
    140.00   -0.8863    0.7437
    141.00   -0.8803    0.7129
    142.00   -0.8733    0.6823
    143.00   -0.8651    0.6519
    144.00   -0.8560    0.6219
    145.00   -0.8457    0.5922
    146.00   -0.8345    0.5629
    147.00   -0.8222    0.5339
    148.00   -0.8089    0.5055
    149.00   -0.7947    0.4775
    150.00   -0.7794    0.4500
    151.00   -0.7632    0.4231
    152.00   -0.7461    0.3967
    153.00   -0.7281    0.3710
    154.00   -0.7092    0.3459
    155.00   -0.6894    0.3215
    156.00   -0.6688    0.2978
    157.00   -0.6474    0.2748
    158.00   -0.6252    0.2526
    159.00   -0.6022    0.2312
    160.00   -0.5785    0.2106
    161.00   -0.5541    0.1908
    162.00   -0.5290    0.1719
    163.00   -0.5033    0.1539
    164.00   -0.4769    0.1368
    165.00   -0.4500    0.1206
    166.00   -0.4225    0.1053
    167.00   -0.3945    0.0911
    168.00   -0.3661    0.0778
    169.00   -0.3371    0.0655
    170.00   -0.3078    0.0543
    171.00   -0.2781    0.0440
    172.00   -0.2481    0.0349
    173.00   -0.2177    0.0267
    174.00   -0.1871    0.0197
    175.00   -0.1563    0.0137
    176.00   -0.1253    0.0088
    177.00   -0.0941    0.0049
    178.00   -0.0628    0.0022
    179.00   -0.0314    0.0005
    180.00   -0.0000    0.0000
    180.00    0.0000    0.0000
