AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 17.06.2020 at 13:50:26 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
3.77           Angle of attack for zero Cn for linear Cn curve (deg)
4.63933        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4940        Cn at stall value for positive angle of attack for linear Cn curve
-0.7589        Cn at stall value for negative angle of attack for linear Cn curve
8.00           Angle of attack for minimum CD (deg)
0.0458         Minimum CD value
    -46.00   -1.1039    0.8743
    -45.00   -1.1002    0.8456
    -44.00   -1.0953    0.8169
    -43.00   -1.0894    0.7881
    -42.00   -1.0824    0.7595
    -41.00   -1.0742    0.7308
    -40.00   -1.0650    0.7023
    -39.00   -1.0548    0.6740
    -38.00   -1.0436    0.6458
    -37.00   -1.0313    0.6178
    -36.00   -1.0181    0.5900
    -35.00   -1.0039    0.5626
    -34.00   -0.9888    0.5354
    -33.00   -0.9728    0.5086
    -32.00   -0.9560    0.4821
    -31.00   -0.9383    0.4561
    -30.00   -0.9199    0.4305
    -29.00   -0.9007    0.4054
    -28.00   -0.8808    0.3808
    -27.00   -0.8602    0.3567
    -26.00   -0.8390    0.3332
    -25.00   -0.8173    0.3103
    -24.00   -0.7951    0.2880
    -23.00   -0.7725    0.2663
    -22.00   -0.7496    0.2454
    -21.00   -0.7265    0.2251
    -20.00   -0.4524    0.2415
    -19.00   -0.4398    0.2403
    -15.00   -0.3878    0.2051
    -14.00   -0.3722    0.1937
    -13.00   -0.3622    0.1856
    -12.00   -0.3552    0.1783
    -11.00   -0.3515    0.1719
    -10.00   -0.3590    0.1704
     -9.00   -0.3910    0.1758
     -8.00   -0.3664    0.1559
     -7.00   -0.3539    0.1440
     -6.00   -0.3579    0.1372
     -5.00   -0.3775    0.1333
     -4.00   -0.4140    0.1355
     -3.00   -0.4050    0.1217
     -2.00   -0.3924    0.1107
     -1.00   -0.3191    0.1078
      0.00   -0.3087    0.0933
      1.00   -0.2305    0.0857
      2.00   -0.1507    0.0788
      4.00    0.0201    0.0701
      6.00    0.1671    0.0648
      7.00    0.3401    0.0678
      8.00    0.8663    0.0458
      9.00    0.9429    0.0495
     10.00    1.3180    0.0491
     11.00    1.4586    0.0608
     12.00    1.5003    0.0732
     13.00    1.4550    0.0880
     14.00    1.1929    0.1097
     15.00    0.9352    0.1757
     16.00    0.9548    0.1859
     17.00    1.0122    0.2013
     18.00    1.0172    0.2079
     19.00    1.0780    0.2280
     20.00    1.0663    0.2298
     21.00    0.6857    0.2112
     22.00    0.6497    0.2363
     23.00    0.6247    0.2615
     24.00    0.6079    0.2870
     25.00    0.5973    0.3129
     26.00    0.5911    0.3391
     27.00    0.5883    0.3658
     28.00    0.5878    0.3929
     29.00    0.5891    0.4206
     30.00    0.5916    0.4487
     31.00    0.5948    0.4772
     32.00    0.5986    0.5062
     33.00    0.6026    0.5357
     34.00    0.6066    0.5656
     35.00    0.6106    0.5959
     36.00    0.6144    0.6265
     37.00    0.6178    0.6575
     38.00    0.6209    0.6888
     39.00    0.6235    0.7203
     40.00    0.6257    0.7521
     41.00    0.6274    0.7842
     42.00    0.6285    0.8163
     43.00    0.6290    0.8487
     44.00    0.6290    0.8811
     45.00    0.6283    0.9135
     46.00    0.6271    0.9460
     47.00    0.6253    0.9785
     48.00    0.6228    1.0109
     49.00    0.6197    1.0432
     50.00    0.6160    1.0754
     51.00    0.6117    1.1074
     52.00    0.6068    1.1392
     53.00    0.6013    1.1707
     54.00    0.5953    1.2020
     55.00    0.5886    1.2329
     56.00    0.5814    1.2634
     57.00    0.5736    1.2935
     58.00    0.5653    1.3232
     59.00    0.5564    1.3524
     60.00    0.5470    1.3811
     61.00    0.5371    1.4092
     62.00    0.5267    1.4368
     63.00    0.5158    1.4637
     64.00    0.5044    1.4900
     65.00    0.4925    1.5155
     66.00    0.4803    1.5404
     67.00    0.4675    1.5644
     68.00    0.4544    1.5877
     69.00    0.4408    1.6102
     70.00    0.4268    1.6319
     71.00    0.4125    1.6526
     72.00    0.3978    1.6725
     73.00    0.3827    1.6914
     74.00    0.3673    1.7094
     75.00    0.3516    1.7264
     76.00    0.3355    1.7425
     77.00    0.3191    1.7575
     78.00    0.3025    1.7715
     79.00    0.2856    1.7844
     80.00    0.2684    1.7962
     81.00    0.2509    1.8070
     82.00    0.2332    1.8167
     83.00    0.2153    1.8253
     84.00    0.1972    1.8327
     85.00    0.1788    1.8391
     86.00    0.1603    1.8442
     87.00    0.1416    1.8483
     88.00    0.1228    1.8512
     89.00    0.1038    1.8529
     90.00    0.0847    1.8535
     91.00    0.0654    1.8529
     92.00    0.0460    1.8512
     93.00    0.0266    1.8483
     94.00    0.0071    1.8443
     95.00   -0.0125    1.8391
     96.00   -0.0322    1.8328
     97.00   -0.0519    1.8254
     98.00   -0.0715    1.8168
     99.00   -0.0912    1.8072
    100.00   -0.1109    1.7964
    101.00   -0.1306    1.7846
    102.00   -0.1502    1.7717
    103.00   -0.1697    1.7577
    104.00   -0.1891    1.7427
    105.00   -0.2085    1.7267
    106.00   -0.2277    1.7097
    107.00   -0.2468    1.6917
    108.00   -0.2657    1.6728
    109.00   -0.2844    1.6530
    110.00   -0.3041    1.6322
    111.00   -0.3224    1.6106
    112.00   -0.3405    1.5882
    113.00   -0.3582    1.5649
    114.00   -0.3757    1.5409
    115.00   -0.3929    1.5160
    116.00   -0.4097    1.4905
    117.00   -0.4262    1.4643
    118.00   -0.4422    1.4374
    119.00   -0.4579    1.4099
    120.00   -0.4731    1.3818
    121.00   -0.4878    1.3532
    122.00   -0.5021    1.3240
    123.00   -0.5158    1.2944
    124.00   -0.5290    1.2643
    125.00   -0.5416    1.2338
    126.00   -0.5536    1.2030
    127.00   -0.5649    1.1718
    128.00   -0.5756    1.1403
    129.00   -0.5857    1.1086
    130.00   -0.5950    1.0767
    131.00   -0.6036    1.0446
    132.00   -0.6115    1.0124
    133.00   -0.6185    0.9801
    134.00   -0.6248    0.9478
    135.00   -0.6302    0.9154
    136.00   -0.6348    0.8831
    137.00   -0.6386    0.8508
    138.00   -0.6414    0.8187
    139.00   -0.6433    0.7867
    140.00   -0.6443    0.7549
    141.00   -0.6444    0.7233
    142.00   -0.6435    0.6920
    143.00   -0.6416    0.6610
    144.00   -0.6388    0.6303
    145.00   -0.6349    0.6000
    146.00   -0.6301    0.5702
    147.00   -0.6243    0.5408
    148.00   -0.6174    0.5118
    149.00   -0.6096    0.4834
    150.00   -0.6007    0.4556
    151.00   -0.5909    0.4283
    152.00   -0.5800    0.4017
    153.00   -0.5683    0.3757
    154.00   -0.5555    0.3504
    155.00   -0.5419    0.3258
    156.00   -0.5273    0.3020
    157.00   -0.5120    0.2789
    158.00   -0.4958    0.2566
    159.00   -0.4790    0.2352
    160.00   -0.4616    0.2146
    161.00   -0.4437    0.1948
    162.00   -0.4255    0.1759
    163.00   -0.4072    0.1580
    164.00   -0.3891    0.1410
    165.00   -0.3715    0.1249
    166.00   -0.3552    0.1098
    167.00   -0.3407    0.0956
    168.00   -0.3292    0.0825
    169.00   -0.3221    0.0704
    170.00   -0.3213    0.0593
    171.00   -0.3291    0.0492
    172.00   -0.3468    0.0401
    173.00   -0.3727    0.0322
    174.00   -0.3966    0.0252
    175.00   -0.3971    0.0194
    176.00   -0.3525    0.0145
    177.00   -0.2611    0.0108
    178.00   -0.1415    0.0081
    179.00   -0.0124    0.0065
    180.00    0.1180    0.0060
    180.00    0.1180    0.0060
