AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 03.06.2020 at 12:39:25 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
24.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
3.71           Angle of attack for zero Cn for linear Cn curve (deg)
4.77401        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3831        Cn at stall value for positive angle of attack for linear Cn curve
-0.6735        Cn at stall value for negative angle of attack for linear Cn curve
7.50           Angle of attack for minimum CD (deg)
0.0428         Minimum CD value
   -114.00    0.6925    1.3907
   -113.00    0.6616    1.4113
   -112.00    0.6298    1.4312
   -111.00    0.5972    1.4504
   -110.00    0.5638    1.4688
   -109.00    0.5297    1.4865
   -108.00    0.4950    1.5034
   -107.00    0.4588    1.5195
   -106.00    0.4228    1.5348
   -105.00    0.3863    1.5492
   -104.00    0.3494    1.5628
   -103.00    0.3120    1.5755
   -102.00    0.2742    1.5873
   -101.00    0.2361    1.5983
   -100.00    0.1977    1.6083
    -99.00    0.1591    1.6174
    -98.00    0.1203    1.6256
    -97.00    0.0814    1.6328
    -96.00    0.0425    1.6391
    -95.00    0.0035    1.6445
    -94.00   -0.0355    1.6488
    -93.00   -0.0744    1.6522
    -92.00   -0.1132    1.6547
    -91.00   -0.1518    1.6561
    -90.00   -0.1901    1.6566
    -89.00   -0.2282    1.6561
    -88.00   -0.2660    1.6547
    -87.00   -0.3034    1.6522
    -86.00   -0.3404    1.6488
    -85.00   -0.3769    1.6444
    -84.00   -0.4129    1.6391
    -83.00   -0.4484    1.6328
    -82.00   -0.4833    1.6256
    -81.00   -0.5176    1.6174
    -80.00   -0.5512    1.6083
    -79.00   -0.5841    1.5982
    -78.00   -0.6162    1.5873
    -77.00   -0.6476    1.5754
    -76.00   -0.6782    1.5627
    -75.00   -0.7079    1.5491
    -74.00   -0.7367    1.5347
    -73.00   -0.7647    1.5194
    -72.00   -0.7916    1.5033
    -71.00   -0.8177    1.4864
    -70.00   -0.8427    1.4687
    -69.00   -0.8667    1.4502
    -68.00   -0.8897    1.4311
    -67.00   -0.9116    1.4111
    -66.00   -0.9324    1.3905
    -65.00   -0.9522    1.3693
    -64.00   -0.9708    1.3473
    -63.00   -0.9883    1.3248
    -62.00   -1.0046    1.3017
    -61.00   -1.0197    1.2779
    -60.00   -1.0337    1.2537
    -59.00   -1.0465    1.2289
    -58.00   -1.0582    1.2037
    -57.00   -1.0686    1.1780
    -56.00   -1.0778    1.1518
    -55.00   -1.0858    1.1253
    -54.00   -1.0927    1.0984
    -53.00   -1.0983    1.0712
    -52.00   -1.1027    1.0436
    -51.00   -1.1059    1.0158
    -50.00   -1.1079    0.9878
    -49.00   -1.1088    0.9596
    -48.00   -1.1084    0.9312
    -47.00   -1.1069    0.9026
    -46.00   -1.1042    0.8740
    -45.00   -1.1004    0.8453
    -44.00   -1.0954    0.8165
    -43.00   -1.0893    0.7878
    -42.00   -1.0821    0.7591
    -41.00   -1.0739    0.7304
    -40.00   -1.0645    0.7019
    -39.00   -1.0542    0.6735
    -38.00   -1.0428    0.6453
    -37.00   -1.0304    0.6172
    -36.00   -1.0171    0.5894
    -35.00   -1.0028    0.5619
    -34.00   -0.9876    0.5347
    -33.00   -0.9716    0.5078
    -32.00   -0.9547    0.4813
    -31.00   -0.9370    0.4552
    -30.00   -0.9186    0.4295
    -29.00   -0.8995    0.4043
    -28.00   -0.8797    0.3796
    -27.00   -0.8594    0.3554
    -26.00   -0.8385    0.3317
    -25.00   -0.8172    0.3087
    -24.00   -0.7956    0.2862
    -23.00   -0.7738    0.2643
    -22.00   -0.7519    0.2430
    -21.00   -0.7302    0.2224
    -20.00   -0.7090    0.2025
    -19.00   -0.6885    0.1832
    -18.00   -0.6692    0.1646
    -17.00   -0.6519    0.1466
    -16.00   -0.6375    0.1292
    -15.00   -0.6274    0.1124
    -14.00   -0.6234    0.0962
    -13.00   -0.6282    0.0806
    -12.00   -0.6449    0.0654
    -11.00   -0.6762    0.0510
    -10.00   -0.3590    0.1704
     -9.50   -0.3735    0.1732
     -8.00   -0.3664    0.1559
     -7.50   -0.3560    0.1485
     -7.00   -0.3539    0.1440
     -6.50   -0.3547    0.1404
     -6.00   -0.3579    0.1372
     -5.50   -0.3644    0.1346
     -5.00   -0.3775    0.1333
     -4.50   -0.4021    0.1339
     -4.00   -0.4140    0.1355
     -3.00   -0.4050    0.1217
     -2.50   -0.3997    0.1153
     -2.00   -0.3924    0.1107
     -1.50   -0.3777    0.1070
     -1.00   -0.3191    0.1078
     -0.50   -0.3233    0.0986
      0.00   -0.3087    0.0933
      1.00   -0.2305    0.0857
      1.50   -0.1986    0.0820
      2.00   -0.1507    0.0788
      2.50   -0.0938    0.0777
      3.50   -0.0149    0.0730
      4.00    0.0201    0.0701
      4.50    0.0690    0.0693
      5.00    0.1109    0.0685
      5.50    0.1384    0.0680
      6.00    0.1671    0.0648
      6.50    0.2262    0.0673
      7.00    0.3401    0.0678
      7.50    0.8469    0.0428
      8.00    0.8663    0.0458
      8.50    0.8944    0.0483
      9.00    0.9429    0.0495
      9.50    1.0600    0.0479
     10.00    1.3180    0.0491
     10.50    1.4143    0.0551
     11.00    1.4586    0.0608
     11.50    1.4944    0.0682
     12.00    1.5003    0.0732
     12.50    1.4399    0.0778
     13.00    1.4550    0.0880
     13.50    1.3371    0.0937
     14.00    1.1929    0.1097
     14.50    0.8446    0.1829
     15.00    0.8538    0.1895
     15.50    0.9076    0.2011
     16.00    0.9033    0.2043
     16.50    0.9015    0.2088
     17.00    0.9053    0.2147
     17.50    0.9117    0.2215
     18.00    0.9511    0.2341
     18.50    0.9397    0.2363
     19.00    0.9407    0.2435
     19.50    0.9748    0.2546
     20.00    0.9569    0.2582
     21.00    1.3919    0.0128
     22.00    1.4683    0.0139
     23.00    1.5317    0.0181
     24.00    1.5683    0.0291
     25.00    1.5636    0.0510
     26.00    1.5101    0.0864
     27.00    1.4143    0.1344
     28.00    1.2945    0.1908
     29.00    1.1713    0.2502
     30.00    1.0596    0.3084
     31.00    0.9663    0.3632
     32.00    0.8921    0.4139
     33.00    0.8348    0.4608
     34.00    0.7912    0.5045
     35.00    0.7583    0.5458
     36.00    0.7335    0.5851
     37.00    0.7146    0.6230
     38.00    0.7002    0.6599
     39.00    0.6890    0.6959
     40.00    0.6802    0.7313
     41.00    0.6729    0.7663
     42.00    0.6669    0.8009
     43.00    0.6615    0.8353
     44.00    0.6567    0.8694
     45.00    0.6520    0.9033
     46.00    0.6474    0.9370
     47.00    0.6428    0.9705
     48.00    0.6380    1.0039
     49.00    0.6329    1.0369
     50.00    0.6275    1.0698
     51.00    0.6217    1.1024
     52.00    0.6155    1.1346
     53.00    0.6089    1.1666
     54.00    0.6019    1.1983
     55.00    0.5944    1.2295
     56.00    0.5865    1.2604
     57.00    0.5780    1.2908
     58.00    0.5691    1.3207
     59.00    0.5598    1.3501
     60.00    0.5499    1.3790
     61.00    0.5396    1.4073
     62.00    0.5289    1.4350
     63.00    0.5177    1.4620
     64.00    0.5060    1.4884
     65.00    0.4939    1.5141
     66.00    0.4814    1.5391
     67.00    0.4685    1.5632
     68.00    0.4552    1.5866
     69.00    0.4415    1.6092
     70.00    0.4274    1.6309
     71.00    0.4130    1.6517
     72.00    0.3982    1.6717
     73.00    0.3830    1.6906
     74.00    0.3675    1.7087
     75.00    0.3517    1.7258
     76.00    0.3356    1.7418
     77.00    0.3192    1.7569
     78.00    0.3026    1.7709
     79.00    0.2856    1.7839
     80.00    0.2684    1.7958
     81.00    0.2510    1.8066
     82.00    0.2333    1.8163
     83.00    0.2154    1.8249
     84.00    0.1973    1.8324
     85.00    0.1790    1.8387
     86.00    0.1605    1.8439
     87.00    0.1418    1.8480
     88.00    0.1230    1.8509
     89.00    0.1040    1.8527
     90.00    0.0849    1.8533
     91.00    0.0657    1.8527
     92.00    0.0464    1.8510
     93.00    0.0270    1.8481
     94.00    0.0075    1.8441
     95.00   -0.0120    1.8390
     96.00   -0.0316    1.8327
     97.00   -0.0513    1.8252
     98.00   -0.0709    1.8167
     99.00   -0.0906    1.8070
    100.00   -0.1102    1.7963
    101.00   -0.1298    1.7844
    102.00   -0.1493    1.7715
    103.00   -0.1688    1.7576
    104.00   -0.1882    1.7426
    105.00   -0.2075    1.7266
    106.00   -0.2267    1.7096
    107.00   -0.2458    1.6916
    108.00   -0.2647    1.6727
    109.00   -0.2834    1.6529
    110.00   -0.3019    1.6322
    111.00   -0.3201    1.6106
    112.00   -0.3396    1.5881
    113.00   -0.3574    1.5648
    114.00   -0.3749    1.5408
    115.00   -0.3920    1.5160
    116.00   -0.4088    1.4905
    117.00   -0.4253    1.4642
    118.00   -0.4414    1.4374
    119.00   -0.4571    1.4099
    120.00   -0.4723    1.3818
    121.00   -0.4871    1.3531
    122.00   -0.5013    1.3240
    123.00   -0.5151    1.2944
    124.00   -0.5283    1.2643
    125.00   -0.5410    1.2338
    126.00   -0.5530    1.2030
    127.00   -0.5645    1.1718
    128.00   -0.5753    1.1403
    129.00   -0.5854    1.1086
    130.00   -0.5948    1.0767
    131.00   -0.6035    1.0446
    132.00   -0.6115    1.0124
    133.00   -0.6186    0.9801
    134.00   -0.6250    0.9477
    135.00   -0.6306    0.9154
    136.00   -0.6353    0.8831
    137.00   -0.6391    0.8508
    138.00   -0.6421    0.8187
    139.00   -0.6441    0.7867
    140.00   -0.6453    0.7549
    141.00   -0.6455    0.7233
    142.00   -0.6447    0.6920
    143.00   -0.6430    0.6610
    144.00   -0.6403    0.6303
    145.00   -0.6366    0.6000
    146.00   -0.6319    0.5702
    147.00   -0.6262    0.5408
    148.00   -0.6195    0.5118
    149.00   -0.6117    0.4834
    150.00   -0.6030    0.4556
    151.00   -0.5932    0.4283
    152.00   -0.5825    0.4017
    153.00   -0.5707    0.3757
    154.00   -0.5580    0.3504
    155.00   -0.5443    0.3258
    156.00   -0.5297    0.3020
    157.00   -0.5142    0.2789
    158.00   -0.4978    0.2566
    159.00   -0.4806    0.2352
    160.00   -0.4626    0.2146
    161.00   -0.4439    0.1948
    162.00   -0.4246    0.1759
    163.00   -0.4048    0.1580
    164.00   -0.3846    0.1410
    165.00   -0.3641    0.1249
    166.00   -0.3436    0.1098
    167.00   -0.3233    0.0956
    168.00   -0.3034    0.0825
    169.00   -0.2841    0.0704
    170.00   -0.2656    0.0593
    171.00   -0.2479    0.0492
    172.00   -0.2306    0.0401
    173.00   -0.2121    0.0322
    174.00   -0.1900    0.0252
    175.00   -0.1609    0.0194
    176.00   -0.1220    0.0145
    177.00   -0.0725    0.0108
    178.00   -0.0148    0.0081
    179.00    0.0477    0.0065
    180.00    0.1122    0.0060
    180.00    0.1122    0.0060
