AeroDyn airfoil file Created with QBlade v0.96.2 64bit on 19.06.2020 at 19:17:00 Compatible with AeroDyn v13.0.
Polar "T1_Re0.500_M0.00_N9.0 360 M" on Foil "T1_Re0.500_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.00           Angle of attack for zero Cn for linear Cn curve (deg)
1.51021        Cn slope for zero lift for linear Cn curve (1/rad)
1.2445         Cn at stall value for positive angle of attack for linear Cn curve
-0.6796        Cn at stall value for negative angle of attack for linear Cn curve
5.00           Angle of attack for minimum CD (deg)
0.0269         Minimum CD value
   -139.00    0.3583    0.7310
   -138.00    0.3531    0.7597
   -137.00    0.3473    0.7883
   -136.00    0.3409    0.8170
   -135.00    0.3340    0.8458
   -134.00    0.3266    0.8744
   -133.00    0.3187    0.9031
   -132.00    0.3105    0.9316
   -131.00    0.3019    0.9600
   -130.00    0.2929    0.9882
   -129.00    0.2837    1.0162
   -128.00    0.2743    1.0440
   -127.00    0.2647    1.0715
   -126.00    0.2549    1.0987
   -125.00    0.2451    1.1256
   -124.00    0.2351    1.1521
   -123.00    0.2251    1.1782
   -122.00    0.2151    1.2039
   -121.00    0.2052    1.2291
   -120.00    0.1953    1.2539
   -119.00    0.1855    1.2781
   -118.00    0.1757    1.3018
   -117.00    0.1661    1.3250
   -116.00    0.1567    1.3475
   -115.00    0.1463    1.3694
   -114.00    0.1373    1.3907
   -113.00    0.1284    1.4113
   -112.00    0.1198    1.4312
   -111.00    0.1113    1.4504
   -110.00    0.1031    1.4688
   -109.00    0.0951    1.4865
   -108.00    0.0874    1.5034
   -107.00    0.0799    1.5195
   -106.00    0.0726    1.5347
   -105.00    0.0655    1.5492
   -104.00    0.0587    1.5628
   -103.00    0.0521    1.5755
   -102.00    0.0456    1.5873
   -101.00    0.0394    1.5983
   -100.00    0.0334    1.6083
    -99.00    0.0275    1.6174
    -98.00    0.0218    1.6256
    -97.00    0.0162    1.6328
    -96.00    0.0108    1.6391
    -95.00    0.0055    1.6444
    -94.00    0.0003    1.6488
    -93.00   -0.0049    1.6522
    -92.00   -0.0100    1.6546
    -91.00   -0.0151    1.6561
    -90.00   -0.0201    1.6566
    -89.00   -0.0251    1.6561
    -88.00   -0.0302    1.6546
    -87.00   -0.0352    1.6522
    -86.00   -0.0404    1.6488
    -85.00   -0.0456    1.6444
    -84.00   -0.0508    1.6390
    -83.00   -0.0562    1.6327
    -82.00   -0.0616    1.6255
    -81.00   -0.0672    1.6173
    -80.00   -0.0729    1.6082
    -79.00   -0.0788    1.5981
    -78.00   -0.0848    1.5872
    -77.00   -0.0909    1.5753
    -76.00   -0.0972    1.5626
    -75.00   -0.1037    1.5490
    -74.00   -0.1103    1.5345
    -73.00   -0.1170    1.5192
    -72.00   -0.1240    1.5031
    -71.00   -0.1311    1.4862
    -70.00   -0.1383    1.4685
    -69.00   -0.1457    1.4500
    -68.00   -0.1532    1.4308
    -67.00   -0.1608    1.4109
    -66.00   -0.1686    1.3902
    -65.00   -0.1764    1.3689
    -64.00   -0.1843    1.3470
    -63.00   -0.1923    1.3244
    -62.00   -0.2003    1.3012
    -61.00   -0.2084    1.2774
    -60.00   -0.2164    1.2531
    -59.00   -0.2245    1.2283
    -58.00   -0.2324    1.2030
    -57.00   -0.2404    1.1772
    -56.00   -0.2482    1.1510
    -55.00   -0.2559    1.1244
    -54.00   -0.2634    1.0973
    -53.00   -0.2708    1.0700
    -52.00   -0.2780    1.0423
    -51.00   -0.2849    1.0143
    -50.00   -0.2917    0.9861
    -49.00   -0.2981    0.9576
    -48.00   -0.3043    0.9289
    -47.00   -0.3102    0.9001
    -46.00   -0.3157    0.8710
    -45.00   -0.3210    0.8418
    -44.00   -0.3260    0.8125
    -43.00   -0.3307    0.7831
    -42.00   -0.3351    0.7535
    -41.00   -0.3395    0.7237
    -40.00   -0.3437    0.6938
    -39.00   -0.3481    0.6637
    -38.00   -0.3528    0.6332
    -37.00   -0.3583    0.6022
    -36.00   -0.3650    0.5704
    -35.00   -0.3738    0.5375
    -34.00   -0.3860    0.5028
    -33.00   -0.4034    0.4655
    -32.00   -0.4290    0.4240
    -31.00   -0.4667    0.3765
    -30.00   -0.5213    0.3206
    -29.00   -0.5962    0.2545
    -28.00   -0.6869    0.1805
    -27.00   -0.7731    0.1087
    -26.00   -0.8244    0.0541
    -25.00   -0.8251    0.0248
    -24.00   -0.7874    0.0146
    -23.00   -0.7328    0.0128
    -22.00   -0.6749    0.0127
    -21.00   -0.6169    0.0127
    -20.00   -0.4853    0.2352
    -19.00   -0.4371    0.2223
    -18.00   -0.3897    0.2111
    -17.00   -0.3429    0.1976
    -16.00   -0.2885    0.1862
    -15.00   -0.2350    0.1732
    -14.00   -0.2090    0.1632
    -13.00   -0.1623    0.1515
    -12.00   -0.1113    0.1389
    -11.00   -0.0493    0.1274
     -8.00    0.1061    0.0907
     -7.00    0.1655    0.0798
     -3.00    0.3620    0.0524
     -2.00    0.4648    0.0441
     -1.00    0.5432    0.0382
      2.00    0.5828    0.0339
      3.00    0.6583    0.0310
      4.00    0.7418    0.0282
      5.00    0.8107    0.0269
      8.00    1.0219    0.0285
      9.00    1.1352    0.0301
     10.00    1.2578    0.0330
     11.00    1.3878    0.0385
     12.00    1.4722    0.0451
     13.00    1.4979    0.0537
     14.00    1.4675    0.0647
     15.00    1.3939    0.0795
     16.00    1.2690    0.1025
     17.00    1.0826    0.1483
     18.00    1.0512    0.1786
     19.00    1.0555    0.1967
     20.00    1.0672    0.2118
     21.00    1.0523    0.2168
     22.00    1.0667    0.2415
     23.00    1.0845    0.2663
     24.00    1.1045    0.2914
     25.00    1.1259    0.3168
     26.00    1.1480    0.3427
     27.00    1.1704    0.3691
     28.00    1.1928    0.3959
     29.00    1.2149    0.4233
     30.00    1.2366    0.4511
     31.00    1.2576    0.4795
     32.00    1.2779    0.5083
     33.00    1.2974    0.5376
     34.00    1.3159    0.5673
     35.00    1.3335    0.5974
     36.00    1.3500    0.6280
     37.00    1.3655    0.6588
     38.00    1.3798    0.6900
     39.00    1.3929    0.7215
     40.00    1.4048    0.7532
     41.00    1.4154    0.7852
     42.00    1.4247    0.8173
     43.00    1.4327    0.8495
     44.00    1.4394    0.8819
     45.00    1.4446    0.9143
     46.00    1.4485    0.9467
     47.00    1.4510    0.9792
     48.00    1.4520    1.0115
     49.00    1.4516    1.0438
     50.00    1.4497    1.0760
     51.00    1.4463    1.1079
     52.00    1.4415    1.1397
     53.00    1.4351    1.1712
     54.00    1.4273    1.2024
     55.00    1.4180    1.2333
     56.00    1.4071    1.2638
     57.00    1.3948    1.2939
     58.00    1.3810    1.3236
     59.00    1.3657    1.3528
     60.00    1.3489    1.3814
     61.00    1.3307    1.4095
     62.00    1.3110    1.4371
     63.00    1.2898    1.4640
     64.00    1.2672    1.4902
     65.00    1.2432    1.5158
     66.00    1.2179    1.5406
     67.00    1.1911    1.5647
     68.00    1.1630    1.5880
     69.00    1.1336    1.6104
     70.00    1.1029    1.6320
     71.00    1.0709    1.6528
     72.00    1.0377    1.6727
     73.00    1.0033    1.6916
     74.00    0.9677    1.7096
     75.00    0.9310    1.7266
     76.00    0.8932    1.7426
     77.00    0.8543    1.7576
     78.00    0.8145    1.7716
     79.00    0.7736    1.7845
     80.00    0.7318    1.7964
     81.00    0.6892    1.8071
     82.00    0.6457    1.8168
     83.00    0.6015    1.8254
     84.00    0.5565    1.8328
     85.00    0.5108    1.8392
     86.00    0.4645    1.8443
     87.00    0.4176    1.8484
     88.00    0.3702    1.8513
     89.00    0.3223    1.8530
     90.00    0.2740    1.8536
     91.00    0.2254    1.8530
     92.00    0.1764    1.8513
     93.00    0.1273    1.8484
     94.00    0.0780    1.8444
     95.00    0.0285    1.8392
     96.00   -0.0210    1.8329
     97.00   -0.0705    1.8254
     98.00   -0.1199    1.8169
     99.00   -0.1691    1.8072
    100.00   -0.2182    1.7965
    101.00   -0.2670    1.7846
    102.00   -0.3155    1.7717
    103.00   -0.3636    1.7577
    104.00   -0.4112    1.7427
    105.00   -0.4599    1.7267
    106.00   -0.5065    1.7097
    107.00   -0.5525    1.6918
    108.00   -0.5977    1.6728
    109.00   -0.6422    1.6530
    110.00   -0.6859    1.6323
    111.00   -0.7287    1.6107
    112.00   -0.7705    1.5882
    113.00   -0.8114    1.5649
    114.00   -0.8512    1.5409
    115.00   -0.8899    1.5161
    116.00   -0.9275    1.4905
    117.00   -0.9639    1.4643
    118.00   -0.9990    1.4374
    119.00   -1.0328    1.4099
    120.00   -1.0652    1.3818
    121.00   -1.0962    1.3532
    122.00   -1.1258    1.3240
    123.00   -1.1540    1.2944
    124.00   -1.1806    1.2643
    125.00   -1.2056    1.2338
    126.00   -1.2291    1.2030
    127.00   -1.2510    1.1718
    128.00   -1.2712    1.1404
    129.00   -1.2897    1.1086
    130.00   -1.3065    1.0767
    131.00   -1.3217    1.0446
    132.00   -1.3351    1.0124
    133.00   -1.3467    0.9801
    134.00   -1.3566    0.9478
    135.00   -1.3647    0.9154
    136.00   -1.3711    0.8831
    137.00   -1.3757    0.8508
    138.00   -1.3785    0.8187
    139.00   -1.3796    0.7867
    140.00   -1.3789    0.7549
    141.00   -1.3765    0.7233
    142.00   -1.3724    0.6920
    143.00   -1.3665    0.6610
    144.00   -1.3590    0.6303
    145.00   -1.3499    0.6000
    146.00   -1.3391    0.5702
    147.00   -1.3268    0.5408
    148.00   -1.3130    0.5118
    149.00   -1.2977    0.4834
    150.00   -1.2810    0.4556
    151.00   -1.2630    0.4283
    152.00   -1.2436    0.4017
    153.00   -1.2232    0.3757
    154.00   -1.2016    0.3504
    155.00   -1.1791    0.3258
    156.00   -1.1558    0.3020
    157.00   -1.1318    0.2789
    158.00   -1.1073    0.2566
    159.00   -1.0826    0.2352
    160.00   -1.0577    0.2146
    161.00   -1.0330    0.1948
    162.00   -1.0085    0.1759
    163.00   -0.9842    0.1580
    164.00   -0.9598    0.1410
    165.00   -0.9346    0.1249
    166.00   -0.9076    0.1098
    167.00   -0.8775    0.0956
    168.00   -0.8435    0.0825
    169.00   -0.8055    0.0704
    170.00   -0.7639    0.0593
    171.00   -0.7198    0.0492
    172.00   -0.6743    0.0401
    173.00   -0.6281    0.0322
    174.00   -0.5818    0.0252
    175.00   -0.5354    0.0194
    176.00   -0.4890    0.0145
    177.00   -0.4426    0.0108
    178.00   -0.3962    0.0081
    179.00   -0.3498    0.0065
    180.00   -0.3034    0.0060
    180.00   -0.3034    0.0060
